course_id,lo_code,content_vn,content_en
CO1007,L.O.2.2,"Thực hiện các phép chứng minh: trực tiếp, phản đảo, quy nạp","Use proving methods: direct, contrapositive, induction"
CO1007,L.O.2.3,"Mô tả một bài toán thông qua các cấu trúc tổ hợp - rời rạc (tập hợp, ánh xạ, đồ thị ...)",Explain problem modeling using discrete structures
CO1007,L.O.3.1,"Thực hiện các phương pháp tính toán trên các bài toán cơ bản đã được mô hình hóa thành các cấu trúc rời rạc (tập hợp, đồ thị, cây...)","Operate/ compute on some basic problems which were modeled by discrete structures (set, graph, tree,..)"
CO1007,L.O.3.2,"Thực hiện được một số giải thuật tối ưu cho các bài toán cơ bản trong lý thuyết đồ thị (tìm đường đi ngắn nhất, cây khung nhỏ nhất,…)","Calculate optimally based for solving basic problems in graph theory (shortest path, minimum spanning tree,..)"
CO2011,L.O.1.1,Có thể đưa ví dụ về logic vị từ,Give an example of predicate logic
CO2011,L.O.1.2,Giải thích biểu thức logic trong một ứng dụng thực tiễn,Explain logic expression for some real problems
CO2011,L.O.1.3,Biểu diễn/đặc tả được theo logic vị từ trong một ứng dụng thực tiễn,Describe logic expression for some real problems
CO2011,L.O.2.1,Giải thích được mô hình quy hoạch tuyến tính (phát biểu mô hình toán),Explain a linear programming (mathematical statement)
CO2011,L.O.2.2,Trình bày một vài cấu trúc rời rạc cơ bản,State some well-known discrete structures
CO2011,L.O.2.3,Đưa ra phản ví dụ cho một mô hình thiết kế sai,Give a counter-example for a given wrong model
CO2011,L.O.2.4,Xây dựng mô hình rời rạc từ một bài toán đơn giản,Construct a discrete model for a simple problem
CO2011,L.O.3.1,"Khả năng tinh toán nghiệm tối ưu của mô hình quy hoạch tuyến tính & nguyên, có thể cần sự hỗ trợ của thư viện phù hợp","Compute/Determine optimal/feasible solutions of integer linear programming models, possibly utilizing adequate libraries"
CO2011,L.O.3.2,"Khả năng tính toán thực tế - tối ưu hóa rời rạc (automat,..), có thể cần sự hỗ trợ của thư viện phù hợp","Compute/ optimize solution models based on automata, …, possibly utilizing adequate libraries"
SP1007,L.O.1.1,Trình bày được những khái niệm cơ bản về Nhà nước và pháp luật.Nắm vững những nguyên lý cơ bản về sự vận động và phát triển của pháp luật trong đời sống xã hội,"To be able to present the basic concepts of the State and the Law, master the basic principles of the movement and development of Law in social life"
SP1007,L.O.1.2,Nhận diện được các hiện tượng pháp lý tồn tại trong đời sống và xác định được ngành luật nào điều chỉnh hiện tượng pháp lý đó.,To be able to identify legal phenomena that exist in real life and identify which Law branches governs such legal phenomena.
SP1007,L.O.1.3,"Đánh giá được mức độ phù hợp của sự tác động của pháp luật đối với các hiện tượng pháp lý liên quan đến xã hội nói chung, ngành học của mình nói riêng",To be able to evaluate the appropriateness of the impact of the Law on legal phenomena related to society in general and to major of students in particular.
SP1007,L.O.2.1,Có khả năng đọc hiểu nội dung của các văn bản pháp luật,To be able to read and understand the contents of legal documents.
SP1007,L.O.2.2,Tham gia góp ý cho việc xây dựng pháp luật và áp dụng pháp luật,To contribute to the construction and application of the Law
SP1007,L.O.2.3,Có khả năng tự giải quyết những tình huống pháp lý thông thường trong gia đình và ngoài xã hội.,To be able to deal with common legal situations in family and in society.
SP1007,L.O.2.4,Tự học tập cập nhật nâng cao kiến thức khoa học pháp lý.,Self-study to update and improve knowledge of legal science.
SP1007,L.O.3.1,"Tôn trọng cộng đồng, bảo vệ quyền, lợi ích hợp pháp của cá nhân mình và người khác","To respect the community, protect the legitimate rights and interests of individuals and others"
SP1007,L.O.3.2,"Chủ động đấu tranh ngăn ngừa, xóa bỏ những hành vi vi phạm pháp luật. Lên án hành sai trái, bảo vệ lẽ phải.","To actively strive to prevent and eliminate illegal acts. Condemn wrongdoing, defending righteousness."
SP1007,L.O.3.3,"Tin tưởng và đề cao nguyên tắc ""Sống và làm việc theo pháp luật"".","To believe and uphold the principles of ""Living and working in accordance with the Laws""."
SP1031,L.O.1.1,"Hiểu, biết, phân tích và tổng hợp được những nội dung cơ bản của triết học và triết học Mác-Lênin.","Understand, know, analyze and synthesize the basic contents of Phylosophy and of Marxist-Leninist Philosophy."
SP1031,L.O.1.2,Rút ra được ý nghĩa phương pháp luận của triết học Mác-Lênin,Draw the methodological significance of Marxist-Leninist Philosophy.
SP1031,L.O.2.1,"Vận dụng được các nguyên tắc phương pháp luận của triết học Mác – Lênin vào phân tích, nhận định, đánh giá và giải quyết các vấn đề kinh tế - xã hội, cũng như các vấn đề trong chuyên ngành đào tạo.","Apply the methodological princeples of Marxist-Leninist Philosophy to analyze, identify, evaluate and solve socio – economic problems, as well as in specialized problems."
SP1031,L.O.2.2,"Xây dựng kỹ năng soạn thảo bài viết, thuyết trình, lập luận, phản biện, xử lý các quan hệ xã hội, hoạt động nhóm, phân công công việc, kiểm tra tiến trình và đánh giá mức độ hoàn thành công việc.","Build skills in writing articles, presentations, arguments, criticizing, handling social relations, working in groups, assigning work, checking progress and evaluating work completion."
SP1031,L.O.3.1,"Rèn luyện thái độ nghiêm túc, có trách nhiệm và tự giác cho sinh viên.","Cultivate a serious, responsible and self – disciplined attitudes for students."
SP1031,L.O.3.2,"Xây dựng thái độ lạc quan, tin tưởng, kiên định, trung thành và không ngừng phấn đấu của người công dân cho sự nghiệp cách mạng của dân tộc Việt Nam.","Building citizens’ attitude of optimism, trust, steadfastness, loyalty and unceasing striving for the revolutionary cause of Vietnamese nation."
SP1033,L.O.1.1,"Trình bày các khái niệm kinh tế, phạm trù kinh tế của kinh tế chính trị.",Presentation of economic concepts and economic categories of political economy.
SP1033,L.O.1.2,Phân tích các quy luật kinh tế và nội dung cơ bản của kinh tế chính trị.,Analysis of economic laws and the basic content of political economy.
SP1033,L.O.2.1,Vận dụng các phạm trù kinh tế và các quy luật kinh tế vào hoạt động thực tiễn.,Applying economic categories and economic laws to practical activities.
SP1033,L.O.2.2,"Phân tích chủ trương, đường lối kinh tế của Đảng; chính sách kinh tế và pháp luật của Nhà nước.","Analyze the Party's economic policies and guidelines, the Government’s economic policies and laws."
SP1033,L.O.3.1,Hình thành tư duy kinh tế cho sinh viên.,Forming economic thinking for students.
SP1033,L.O.3.2,"Giáo dục ý thức, trách nhiệm của sinh viên.",Education awareness and responsibility of students.
SP1035,L.O.1.1,"Hiểu, biết và trình bày được những khái niệm, nội dung cơ bản của chủ nghĩa Mác-Lênin về Chủ nghĩa xã hội khoa học và con đường đi lên Chủ nghĩa xã hội ở Việt Nam.","To understand, master the basic concepts and categories of scientific socialism; the basic perspective of Marxism and Leninism about scientific socialism and normative socio-political issues in the process of socialist revolution."
SP1035,L.O.1.2,Phân tích được những vấn đề lý luận và thực tiễn đặt ra đối với tiến trình cách mạng xã hội chủ nghĩa trên thế giới và ở Việt Nam hiện nay.,To have the capacity to analyze normative socio-political issues in the process of socialist revolution and the application in Vietnam.
SP1035,L.O.2.1,"Rèn luyện năng lực tư duy độc lập, kỹ năng làm việc cá nhân, làm việc nhóm và trình bày kết quả nghiên cứu nội dung môn học.","To form independent thinking for research, the ability to identify and solve socio-political issues of the country."
SP1035,L.O.2.2,"Vận dụng kiến thức đã học để xem xét, giải quyết những vấn đề do thực tiễn đặt ra hiện nay.","To apply the basic learned knowledge in analysing the socio-political, economic and cultural issues in accordance with guidelines, policies and laws."
SP1035,L.O.3.1,"Có thái độ tích cực, hành vi đúng đắn trong nhận thức và hoạt động thực tiễn.","To have positive attitude, proper behavior in perception and practical action."
SP1035,L.O.3.2,Có ý thức tổ chức kỷ luật và ý thức trách nhiệm công dân Việt Nam; bảo vệ và phổ biến những quan điểm của chủ nghĩa Mác – Lênin.,"To have sense of organization, discipline, and a sense of responsibility is a Vietnamese citizen; defend and popularize the views of Marxism-Leninism"
SP1037,L.O.1.1,"Hiểu biết và nắm vững cơ sở, bản chất, quá trình hình thành và phát triển của tư tưởng của Hồ Chí Minh.","Understand and master the origin, nature, formation and development of Ho Chi Minh ideologies"
SP1037,L.O.1.2,Phân tích được nội dung cốt lõi và giá trị của tư tưởng Hồ Chí Minh. Đánh giá được sự vận dụng tư tưởng Hồ Chí Minh vào giải quyết những vấn đề cơ bản của cách mạng Việt Nam.,Analyse that the core content and the values of Ho Chi Minh ideologies. Evaluate the application of Ho Chi Minh ideologies on solving the basic problems of Vietnam revolution
SP1037,L.O.2.1,"Xây dựng nền tảng thế giới quan duy vật, phương pháp luận biện chứng. Hình thành kỹ năng tự học, nghiên cứu, soạn thảo và trình bày các chủ đề về Tư tưởng Hồ Chí Minh.","Build and strengthen materialist world view and dialectical methodology. Develop skills of self-study, research, drafting and presentation of topics in Ho Chi Minh ideologies"
SP1037,L.O.2.2,Vận dụng được những quan điểm cơ bản trong tư tưởng Hồ Chí Minh vào giải quyết những vấn đề cụ thể và rèn luyện đạo đức của bản thân,Applying Ho Chi Minh ideologies on solving particular issues and self-ethical practice.
SP1037,L.O.3.1,Giữ vững lòng tin vào con đường độc lập dân tộc và đi lên chủ nghĩa xã hội ở Việt Nam.,"Maintain confidence in the path to socialism in Vietnam. Raise ethnic pride, be proud of Vietnam Communist Party, of Ho Chi Minh."
SP1037,L.O.3.2,"Nâng cao lòng tự hào dân tộc, tự hào về Đảng Cộng sản Việt Nam, về Chủ tịch Hồ Chí Minh. Có ý thức trách nhiệm hơn trong việc xây dựng và bảo vệ Tổ quốc giàu, đẹp.",Then create a sense of responsibility in developing and protecting our rich and beautiful country.
SP1039,L.O.1.1,"Trình bày được điều kiện lịch sử, quá trình lãnh đạo của Đảng Cộng sản Việt Nam.","Presenting historical conditions, leadership process of the Communist Party of Vietnam."
SP1039,L.O.1.2,Phân tích và đánh giá được chủ trương của Đảng qua mỗi giai đoạn/thời kỳ cách mạng gắn với những điều kiện lịch sử cụ thể.,Analyze and evaluate the Party's policy through each revolutionary period associated with specific historical conditions.
SP1039,L.O.2.1,"Kỹ năng lựa chọn tài liệu nghiên cứu, học tập môn học và vận dụng nhận thức lịch sử vào thực tiễn, phê phán quan niệm sai trái về lịch sử của Đảng.","The skill of selecting research materials, studying the subject and applying historical awareness into practice, criticizing wrong views about the Party's history."
SP1039,L.O.2.2,"Rèn luyện năng lực tư duy độc lập trong nghiên cứu, năng lực phát hiện và giải quyết vấn đề; làm việc nhóm và trình bày kết quả nghiên cứu.","Train the ability to think independently in research, to detect and solve problems; team work and present research results."
SP1039,L.O.3.1,"Ý thức tôn trọng sự thật khách quan, nâng cao lòng tự hào, niềm tin của sinh viên đối với sự lãnh đạo của Đảng trong lịch sử và hiện tại.",The sense of respecting objective truths increases students' pride and confidence in the Party's leadership in history and present.
SP1039,L.O.3.2,"Ý thức tổ chức kỷ luật, hợp tác, nghiêm túc để hoàn thành nhiệm vụ học tập.","A sense of discipline, cooperation, and seriousness to complete learning tasks."
CO1005,L.O.1.1,Mô tả các thành phần cơ bản của kiến trúc Von Neumann,Describe the basic components of the Von Neumann architecture
CO1005,L.O.1.2,"Hiểu được các khái niệm cơ bản về mạng máy tính, WWW và IoT","Understand basic concepts of computer networks, WWW and IoT"
CO1005,L.O.2.1,Sử dụng được các kiểu dữ liệu cơ bản,Able to use primitive data types
CO1005,L.O.2.2,"Trình bày được cấu trúc cơ bản trong lập trình: rẽ nhánh, lặp",Able to write a module or a program in C ++
CO1005,L.O.2.3,Viết được một module hoặc chương trình bằng C++,Able to write a module or a program in C ++
CO1005,L.O.2.4,Dùng flowchart để biểu diễn giải thuật đơn giản,Use flowchart to represent simple algorithms
CO1005,L.O.3.1,Biết cách dẫn nguồn khi viết tài liệu khoa học,Able to cite sources properly when writing scientific documents
CO1005,L.O.3.2,Nhận thức được các vấn đề pháp lý và đạo đức trong lĩnh vực điện toán,Be aware of legal and ethics issues in computing
IM1013,L.O.1.1,"Hiểu các khái niệm về chọn lựa, chi phí cơ hội","Understand the concepts of choice, opportunity cost"
IM1013,L.O.1.2,Hiểu các khái niệm để giải thích sự thay đổi của thị trường,Understand concepts to explain market changes
IM1013,L.O.1.3,Hiểu các khái niệm chi phí và tối đa hóa lợi nhuận,Understand cost and profit maximization concepts
IM1013,L.O.1.4,Hiểu các khái niệm lợi nhuận kinh tế và cấu trúc thị trường,Understand the concepts of economic profit and market structure
IM1013,L.O.1.5,"Hiểu và phân biệt được tổng sản phẩm quốc dân (GDP), tổng sản phẩm quốc nội (GNP)","Understand and distinguish gross national product (GDP), gross domestic product (GNP)"
IM1013,L.O.1.6,"Hiểu các thuật ngữ dùng trong nghiên cứu thất nghiệp, lạm phát, và tiền tệ","Understand terms used in unemployment, inflation, and currency studies"
IM1013,L.O.2.1,Giải thích tại sao sự khan hiếm dẫn đến quyết định lựa chọn,Explain why scarcity leads to selection decisions
IM1013,L.O.2.2,Giải thích cân bằng diễn ra như thế nào trong hệ thống thị trường,Explain how equilibrium works in the market system
IM1013,L.O.2.3,Sử dụng mô hình cung/cầu để xác định tác động của sự thay đổi cung/cầu ảnh hưởng lên cân bằng thị trường,Use supply/demand model to determine the impact of supply/demand changes on market equilibrium
IM1013,L.O.2.4,Ứng dụng mô hình chi phí để giải thích cách doanh nghiệp chọn lựa sản lượng nhằm tối đa hóa lợi nhuận,Apply cost model to explain how firms choose output to maximize profit
IM1013,L.O.2.5,Hiểu cách thức doanh nghiệp định giá bán và sản lượng trong thị trường cạnh tranh hoàn hảo và độc quyền,Understand how firms price and output in a perfectly competitive and monopolistically competitive market
IM1013,L.O.3.1,Hiểu mô hình thay đổi sản lượng quốc nội (GDP),Understanding the pattern of changes in domestic output (GDP)
IM1013,L.O.3.2,Hiểu sự tác động của lạm phát và thất nghiệp lên chính sách điều chỉnh GDP,Understand the impact of inflation and unemployment on GDP adjustment policy
IM1013,L.O.3.3,Giải thích cách tiền tệ được tạo ra,Explain how the currency is created
IM1013,L.O.3.4,Phân tích cách ngân hàng nhà nước kiểm soát việc tạo ra tiền,Analyze how state banks control money creation
IM1023,L.O.1,Giải thích các khái niệm liên quan đến lĩnh vực quản lý sản xuất và vận hành,"Demonstrate the concepts, operations strategy and decisions."
IM1023,L.O.2,Áp dụng các kỹ thuật lập kế hoạch và kiểm soát sản xuất.,Apply various techniques in production planning and control.
IM1023,L.O.3,Thể hiện được kỹ năng thuyết trình và viết báo cáo.,Demonstrate oral and writing skills.
IM1025,L.O.1,"Giải thích, phân biệt các khái niệm, quy trình, và giải pháp giải quyết vấn đề trong dự án","Explain, distinguish concepts, processes, and methods to solve problems in projects"
IM1025,L.O.2,Ứng dụng các cách tiếp cận khác nhau để đánh giá tính khả thi của dự án,Apply various approaches to assess a project’s feasibility
IM1025,L.O.3,Áp dụng các công cụ quản lý dự án,Apply various methods in managing projects
IM1025,L.O.4,Thể hiện kỹ năng trình bày/ thuyết trình,Demonstrate presentation skills
IM1027,L.O.1,"Giảỉ thích được cách thức lựa chọn trong kinh tế thông qua các quan điểm chi phí cơ hội, giá sử dụng vốn và giá trị theo thời gian của tiền","Explain economics thinking in selection by considering about opportunity costs, cost of capital, and calculate the time value of money"
IM1027,L.O.2,Sử dụng thành thạo các công cụ và kỹ thuật phân tích tính khả thi về tài chính của các dự án đầu tư,Applying tools and techniques in appraising project from aspect of financial feasibility
IM1027,L.O.3,Phân tích dự án đầu tư thông qua các phân tích trước và sau thuế,Analysis project from viewpoints of before and after tax
CO2001,L.O.1,Hiểu biết về nghề nghiệp mà mình đang theo học,Know about the profession that they are pursuing
CO2001,L.O.2,Làm việc có hiệu quả trong một nhóm,Work in a team effectively
CO2001,L.O.3,"Thực tập kỹ năng giao tiếp qua việc thảo luận, thuyết trình và viết báo cáo","Possess communication skills through discussion, presentation, and report writing."
CO2001,L.O.4,"Hiểu biết các vấn đề đạo đức nghề nghiệp, và luật pháp liên quan như: luật CNTT, luật bản quyền.",Understand professional ethics and relevant laws such as Law on information technology and copyright.
CO2001,L.O.5,"Giải thích các ảnh hưởng toàn cục và cục bộ của điện toán trên con người, tổ chức và xã hội.","Explain the global and local effects of computing on people, organizations, and society."
LA1003,L.O.1,"Từ vựng: Biết được một lượng từ vựng đủ để có thể diễn đạt ý mình về các chủ đề thường nhật như Bạn là ai, Trái tim ở đâu, Sức khỏe và hạnh phúc, Học tập và Gia đình & Bạn bè.","Vocabulary: Know a sufficient amount of vocabulary to be able to express yourself on everyday topics such as Who You Are, Where Your Heart Is, Health & Happiness, Study, and Family & Friends."
LA1003,L.O.2,"Ngữ pháp: Biết được những cấu trúc ngữ pháp phổ biến và cần thiết, áp dụng được chúng trong các tình huống giao tiếp quen thuộc một cách hợp lý, chính xác.","Grammar: Know the common and necessary grammatical structures, apply them in familiar communication situations in a reasonable and accurate way."
LA1003,L.O.3,"Nghe: Nghe hiểu được các thông tin rõ ràng, các ý chính cũng như chi tiết của những bài nói tương đối đơn giản về các chủ đề quen thuộc liên quan tới Bạn là ai, Trái tim ở đâu, Sức khỏe và hạnh phúc, Học tập và Gia đình & Bạn bè. Bên cạnh đó, có thể hiểu được những bài diễn thuyết, bài nói chuyện của các chuyên gia (nhà thuyết kế, ca sỹ, nhà khảo cổ học...) qua các bài TED Talks.","Listening: Can understand the clear information, main ideas and details of relatively simple talks on familiar topics related to Who You Are, Where Your Heart is, Health and Happiness, Study and Family & Friends. Besides, it is possible to understand the speeches and talks of experts (theoreticians, singers, archaeologists...) through TED Talks."
LA1003,L.O.4,Đọc: Đọc hiểu được ở mức độ nhất định những văn bản rõ ràng về các chủ đề liên quan cuộc sống thường nhật và các chủ đề trong các bài TED Talks.,Reading: Can read to a certain extent clear texts on topics related to everyday life and topics in TED Talks.
LA1003,L.O.5,"Nói: Áp dụng được từ vựng và cấu trúc ngữ pháp, duy trì được sự trôi chảy của lời nói. Có thể nói về nhiều chủ đề khác nhau, diễn đạt các quan điểm rõ ràng, dễ hiểu.","Speaking: Apply vocabulary and grammatical structures, maintain fluency of speech. Can talk about a variety of topics, expressing opinions clearly and easily."
LA1003,L.O.6,"Viết: Áp dụng từ vựng và các cấu trúc để viết các văn bản rõ ràng, mạch lạc về các chủ đề quen thuộc.","Writing: Apply vocabulary and structures to write clear, coherent texts on familiar topics."
LA1005,L.O.1,"Từ vựng: Biết được một lượng từ vựng đủ để có thể diễn đạt ý mình về các chủ đề thường nhật như: Mục tiêu trong cuộc sống, sở thích ăn uống, Lựa chọn trong mua sắm, công việc, và Công nghệ.","Vocabulary: Know a sufficient amount of vocabulary to be able to express yourself on everyday topics such as: Life goals, Food preferences, Shopping choices, Work, and Technology."
LA1005,L.O.2,"Ngữ pháp: Biết được những cấu trúc ngữ pháp phổ biến và cần thiết, áp dụng được chúng trong các tình huống giao tiếp quen thuộc một cách hợp lý, chính xác","Grammar: Know the common and necessary grammatical structures, apply them in familiar communication situations in a
reasonable and accurate way"
LA1005,L.O.3,"Nghe: Nghe hiểu được các thông tin rõ ràng, các ý chính cũng như chi tiết của những bài nói tương đối đơn giản về các chủ đề quen thuộc liên quan tới mục tiêu trong cuộc sống, Sở thích ăn uống, Lựa chọn trong mua sắm, Công việc, và Công nghệ. Bên cạnh đó, có thể hiểu được những bài diễn thuyết, bài nói chuyện của các chuyên gia (nhà thiết kế, nhạc sỹ, nhà ẩm thực...) qua các bài TED Talks","Listening: Can understand clear information, main ideas and details in relatively simple speeches on familiar topics related to life goals, food preferences, shopping choices Shopping, Work, and Technology. Besides, it is possible to understand the speeches and talks of experts (designers, musicians, foodies...) through TED Talks."
LA1005,L.O.4,Đọc: Đọc hiểu được ở mức độ nhất định những văn bản rõ ràng về các chủ đề liên quan cuộc sống thường nhật và các chủ đề trong các bài TED Talks.,Reading: Can read to a certain extent clear texts on topics related to everyday life and topics in TED Talks.
LA1005,L.O.5,"Nói: Áp dụng được từ vựng và cấu trúc ngữ pháp, duy trì được sự trôi chảy của lời nói. Có thể nói về nhiều chủ đề khác nhau, diễn đạt các quan điểm rõ ràng, dễ hiểu.","Speaking: Apply vocabulary and grammatical structures, maintain fluency of speech. Can talk about a variety of topics, expressing opinions clearly and easily."
LA1005,L.O.6,"Viết: Áp dụng từ vựng và các cấu trúc để viết các văn bản rõ ràng, mạch lạc về các chủ đề quen thuộc.","Writing: Apply vocabulary and structures to write clear, coherent texts on familiar topics."
LA1007,L.O.1.1,Có thể sử dụng từ vựng liên quan tới mô tả cảm xúc,Can use the vocabulary to describe emotions
LA1007,L.O.1.2,Có thể sử dụng từ vựng để mô tả về chủ đề du lịch.,Can use the vocabulary to describe travel
LA1007,L.O.1.3,Có thể sử dụng từ vựng liên quan đến chủ đề thể thao,Can use the vocabulary about sports
LA1007,L.O.1.4,Có thể sử dụng từ vựng liên quan đến mô tả thực phẩm,Can use the vocabulary about describing food
LA1007,L.O.1.5,Có thể sử dụng từ vựng liên quan đến chủ đề công việc,Can use the words for talking about work.
LA1007,L.O.2.1,Có thể dùng câu hỏi có từ để hỏi cho Chủ ngữ và Tân ngữ,Can use questions for Subjects and Objects
LA1007,L.O.2.2,Có thể dùng các thì phù hợp để mô tả hiện tại,Can use suitable tenses to talk about the present
LA1007,L.O.2.3,Có thể phân biệt và sử dụng các tính từ -ING và -ED,Can distinguish and use -ED and -ING adjectives
LA1007,L.O.2.4,Có thể dùng các thì Quá khứ để kể chuyện,Can use suitable past tenses to tell a story
LA1007,L.O.2.5,Có thể dùng thì Quá khứ đơn và Hiện tại hoàn thành,Can use the Past Simple and the Present Perfect
LA1007,L.O.2.6,Có thể dùng Hiện tại hoàn thành và Hiện tại hoàn thành tiếp diễn,Can use the Present Perfect and Present Perfect Continuous
LA1007,L.O.2.7,Có thể dùng các thì và cấu trúc để mô tả kế hoạch và dự định,"Can use tenses and structures to talk about future plans, intention and arrangements"
LA1007,L.O.2.8,Có thể dùng các thì và cấu trúc để mô tả dự đoán,Can use tenses and structures to make predictions.
LA1007,L.O.2.9,Có thể dùng các dạng động từ -ing và to-infinitive,Can use V-ing và to-infinitive.
LA1007,L.O.2.10,Có thể dùng động từ khiếm khuyết ở dạng hiện tại và quá khứ,Can use present and past modals.
LA1007,L.O.3.1,Có thể nghe được ý chính và các chi tiết bài nói về công việc của các nhà thám hiểm,Can listen to a description of three National Geographic explorers’ work.
LA1007,L.O.3.2,"Có thể nghe được ý chính và các chi tiết bài nói về công nghệ giúp máy tính nhận dạng được cảm xúc con người, từ đó kết nối tốt hơn với người dùng","Can listen to the main points and details of a talk about teaching computers how to understand emotions on the faces of users, we can make more personal connections with the devices we use"
LA1007,L.O.3.3,Có thể nghe được ý chính và các chi tiết bài nói về các phương tiện khác thường để đến trường,Can listen to description of three unusual ways to get to school
LA1007,L.O.3.4,"Có thể nghe được ý chính và các chi tiết bài nói về tinh thần phiêu lưu , dám làm khác để trải nghiệm chuyến đi một cách thú vị hơn","Can listen to the main points and details of a talk about the fact that the fastest route may be efficient, but there are times when taking a different route can be more interesting and memorable"
